frac_migration1  frac_migration2  logmhcrit  prob1  prob2  ssfr1  ssfr2  lnprob
0.7211  0.6874  12.2957  0.6331  0.2337  -11.0531  -9.3675  -0.0406
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.2323  0.8003  12.5955  0.7231  0.3783  -10.8611  -9.1037  -0.1307
0.5187  0.1115  12.5942  0.9874  0.8534  -11.3407  -9.8431  -0.1581
0.4672  0.6165  12.6545  0.0765  0.3874  -11.0782  -9.9416  -0.0749
0.8472  0.8486  12.3159  0.5707  0.2600  -10.9293  -9.1932  -0.0377
0.1167  0.0833  12.2831  0.5108  0.7473  -11.0263  -9.3228  -0.1285
0.5642  0.8000  12.3316  0.3012  0.9922  -11.0075  -9.4956  -0.2625
0.7429  0.5276  12.4962  0.2566  0.9903  -11.0477  -9.9606  -0.3778
0.2132  0.7475  12.3771  0.1969  0.8743  -11.0094  -9.3494  -0.1351
0.4347  0.3959  12.3441  0.5589  0.5187  -10.9752  -9.7664  -0.0723
0.8060  0.5720  12.5447  0.2232  0.5681  -11.0822  -9.3716  -0.1841
0.4438  0.5958  12.6997  0.6447  0.8202  -10.8674  -9.3629  -0.0986
0.5782  0.8675  12.2789  0.4331  0.5312  -10.7402  -9.0775  -0.0737
0.7567  0.7330  12.3014  0.6155  0.2412  -11.0181  -9.3182  -0.0374
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.2323  0.8003  12.5955  0.7231  0.3783  -10.8611  -9.1037  -0.1307
0.5187  0.1115  12.5942  0.9874  0.8534  -11.3407  -9.8431  -0.1581
0.4672  0.6165  12.6545  0.0765  0.3874  -11.0782  -9.9416  -0.0749
0.8472  0.8486  12.3159  0.5707  0.2600  -10.9293  -9.1932  -0.0377
0.1167  0.0833  12.2831  0.5108  0.7473  -11.0263  -9.3228  -0.1285
0.5642  0.8000  12.3316  0.3012  0.9922  -11.0075  -9.4956  -0.2625
0.7429  0.5276  12.4962  0.2566  0.9903  -11.0477  -9.9606  -0.3778
0.2434  0.9553  12.4065  0.0987  0.9140  -11.0042  -9.3577  -0.1169
0.4369  0.3916  12.3414  0.5571  0.5202  -10.9764  -9.7735  -0.0727
0.8060  0.5720  12.5447  0.2232  0.5681  -11.0822  -9.3716  -0.1841
0.4898  0.6247  12.6558  0.6363  0.7562  -10.8745  -9.3435  -0.1021
0.5782  0.8675  12.2789  0.4331  0.5312  -10.7402  -9.0775  -0.0737
0.7567  0.7330  12.3014  0.6155  0.2412  -11.0181  -9.3182  -0.0374
